,pmid,flag,structure
0,27679783,1, Background Methods Sample size determination Data collection Data analysis Results Household characteristics Glycaemic profile of respondents Discussion Limitations Conclusion
1,16673520,0, LETTERS
2,17625375,0," Th e c o u r s e s o f AP C t h e r a p y ( Ne x t d a y , 1 M, 2 M, 2 Y a f t e r ) we r e v e r y g o o d , b u t t h e r e wa s t h e d e e p u l c e r a t i o n i n t h e n e x t d a y o f AP C t h e r a p y ."
3,21347323,1," Introduction Results Tau phosphorylation is reduced, but APP metabolism is unchanged, in HFD fed APOE mice Discussion Methods Ethics Statement Animals and tissue preparation Protein extraction Western blotting Antibodies Abeta ELISA Statistics"
4,20001679,1, Introduction Patients and Methods 2
5,16635794,0, INTRODUCTION MATERIALS AND METHODS Cell Culture Assessment of Acetylated Low-Density Lipoprotein Uptake and Ulex europaeus-Lectin Binding Assessment of Surface Phenotype by Flow Cytometry of MNCs and EPCs Experimental Animals Transplantation of Cells Histologic Analysis Statistical Analysis RESULTS In Vitro Characterization of UCBand BM-Derived EPCs Surface Phenotyping of UCB and BM MNCs and Cultured EPCs Transplantation of UCB-and BM-Derived EPCs in an In Vivo Model Histologic Analysis DISCUSSION
6,25073010,1, Introduction Materials and methods HepaRG cell culture Periodic acid-Schiff (PAS) staining Measurement of cytochrome P450 enzyme activity Gene expression microarray Animal model and HepaRG cell transplantation Urea production Histopathology and immunochemical analysis Western blotting Human albumin assay Results NR1H3/LXRa is required for the hepatic differentiation of HepaRG cells Reciprocal regulation between NR1H3 and HNF4 NR1H3-derived hepatocyte-like cells can rescue lethal fulminant hepatic failure Discussion Financial support Conflict of interest
7,24251192,0, INTRODUCTION DIABETES MELLITUS IN ALGERIA ALGERIAN HABITS DURING RAMADAN ALGERIAN DIABETIC PEOPLE ATTITUDE DURING RAMADAN S297
8,26488380,1, Introduction Methods Study population Study design Procedure and sedation Electrocardiography Statistical analysis Results Discussion Study limitations Conclusion
9,23086996,0, BASIC SCIENCE LIPID TRIGGERED INFLAMMATION IN ATHEROGENESIS CYTOKINES AND CHEMOKINES IN ATHEROSCLEROSIS Education in Heart LEUCOCYTES INVOLVED IN ATHEROGENESIS Monocytes/macrophages Neutrophils Education in Heart B cells MicroRNAs IN ATHEROGENESIS Education in Heart MICROBIOTIC FLORA IN THE GUT THERAPEUTIC OPTIONS AGAINST ATHEROSCLEROSIS Education in Heart You can get CPD/CME credits for Education in Heart Education in Heart
10,26886092,0, INTRODUCTION SUBJECTS AND METHODS Study population Echocardiographic examination Statistical analysis Left ventricular function in normotensive prediabetics RESULTS Clinical characteristics of the subjects Analysis of the echocardiographic measurements DISCUSSION Left ventricular function in normotensive prediabetics Limitations of the study
11,24913113,1, Material and Methods Results Discussion
12,16774010,1, INTRODUCTION METHODS RESULTS DISCUSSION ACKNOWLEDGMENTS
