,pmid,annotators,article_type,trial_design,study_body,review_type,research_design_blinded,primary_endpoints,secondary_endpoints,int_allocation,int_primary_purpose,int_study_model,int_study_phase,obs_study_model,obs_time_perspective,study_population_age,study_population_dka,study_population_location,study_population_surgical,study_population_treatment_type,atypical_index_blood_pressure,atypical_index_cost,atypical_index_immunity,atypical_index_reproduction,atypical_index_tumor,study_type,therapeutic_area,diseases,drugs,proteins,adverse_effects,published_at,title,authors,link
0,30278471,Artur; Maciej,observational_study,superiority,human,other,open_label,,,,supportive_care,single_group,,case_only,retrospective,children,FALSE,germany,FALSE,inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes,dm1; diabetes; dm2,,,,10/2/18,Inpatient Rehabilitation for Children and Adolescents With Diabetes in Germany Between 2006 and 2013.,Marie Auzanneau; Barbara Bohn; Ralf Schiel; Rainer Stachow; Sibylle Koch; Thomas Hermann; Reinhard W Holl,30278471
1,30278356,Kornelia; Artur; Maciej,review,superiority,human,narrative_review,open_label; double_blind,,,n_a; randomized,prevention; diagnostic,single_group,,cohort,retrospective,adults,FALSE,australia,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes,diabetes; dm; t2dm; ascvd,cetp inhibitor; anacetrapib; statins and torcetrapib; statin; evacetrapib; dalcetrapib; cetp inhibitor (torcetrapib; evacetrapib),cholesteryl ester transfer protein (cetp),,9/26/18,"CETP inhibition, statins and diabetes.",Philip J Barter; Blake J Cochran; Kerry-Anne Rye,30278356
2,30277539,Kornelia; Artur; Maciej,observational_study,equivalence,human,other,open_label,,,randomized,prevention; screening,single_group,,cohort,cross_sectional; retrospective,adults,FALSE,multinational,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,TRUE,human_study,diabetes; breast cancer; oncology; endocrinology and oncology,diabetes; obesity; breast cancer; dm2; central obesity,,,,10/1/18,Associations of obesity and circulating insulin and glucose with breast cancer risk: a Mendelian randomization analysis.,Xiang Shu; Lang Wu; Nikhil K Khankari; Xiao-Ou Shu; Thomas J Wang; Kyriaki Michailidou; Manjeet K Bolla; Qin Wang; Joe Dennis; Roger L Milne; Marjanka K Schmidt; Paul D P Pharoah; Irene L Andrulis; David J Hunter; Jacques Simard; Douglas F Easton; Wei Zheng;,30277539
3,30277161,Artur; Maciej,observational_study,equivalence,human,other,open_label,,,,screening,single_group,,cohort; ecologic_community,cross_sectional,adults,FALSE,saudi arabia; jazan region of saudi arabia,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; psychiatry; depression,depression; dm2; t2dm,,,,10/1/18,"The impact of depressive symptoms on quality of life of patients with type 2 diabetes in Jazan region, KSA.",Osama B Albasheer,30277161
4,30277147,Artur; Maciej,review,non-inferiority,other,narrative_review,open_label,,,,supportive_care,parallel,,cohort,retrospective,adults,FALSE,romania,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other,endocrinology; diabetes; cardiology; gastroenterology,cvd; dm2; t2dm,prebiotic of wild edible mushrooms,,,10/1/18,Complementary functional strategy for modulation of human gut microbiota.,Emanuel Vamanu,30277147
5,30277140,Artur; Maciej,review,non-inferiority,other,systematic_review,open_label,,,,treatment,single_group,,case_only,retrospective,adults,FALSE,portugal,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other,endocrinology; diabetes,dm2; t2dm,chalcones,,,10/1/18,Systematic review on anti-diabetic properties of chalcones.,Sonia Rocha; Daniela Ribeiro; Eduarda Fernandes; Marisa Freitas,30277140
6,30276670,Artur; Maciej,observational_study,non-inferiority,human,other,open_label,,,nonrandomized,supportive_care,parallel,,cohort; case_only,cross_sectional,adults,FALSE,china,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; cardiology,cvd; cad; dm2; familial hypercholesterolemia; fh; t2dm,,,,10/1/18,Clinical and genetic characteristics of familial hypercholesterolemia patients with type 2 diabetes.,D Sun; Y-X Cao; X-D You; B-Y Zhou; S Li; Y-L Guo; Y Zhang; N-Q Wu; C-G Zhu; Y Gao; Q-T Dong; G Liu; Q Dong; J-J Li,30276670
7,30276505,Artur; Maciej,observational_study,equivalence,human,other,open_label,,,,supportive_care,parallel,,cohort,cross_sectional; prospective,adults,FALSE,taiwan,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes,dm2; t2dm,,,,10/1/18,Determinants for quality of life trajectory patterns in patients with type 2 diabetes.,Ruey-Hsia Wang; Kuan-Chia Lin; Hui-Chun Hsu; Yau-Jiunn Lee; Shyi-Jang Shin,30276505
8,30276416,Artur; Maciej,comment,superiority,other,other,,,,,,,,,,adults,FALSE,usa,TRUE,hospitalized,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,dm2,,,,,Potential Effects of Bariatric Surgery and Reduced Interleukin 32 Levels on Type 2 Diabetes and Its Comorbidities-Reply.,Thomas H Inge; Philip S Zeitler,30276416
9,30275974,Artur; Maciej,interventional_study,superiority,animal,other,open_label,,,,treatment,parallel,,cohort,prospective,adults,FALSE,china,TRUE,inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,animal_study,endocrinology; diabetes; surgery,t2dm; dm,,,,9/25/18,Non-insulin determinant pathways maintain glucose homeostasis upon metabolic surgery.,Zongshi Lu; Xiao Wei; Fang Sun; Hexuan Zhang; Peng Gao; Yunfei Pu; Anlong Wang; Jing Chen; Weidong Tong; Qiang Li; Xunmei Zhou; Zhencheng Yan; Hongting Zheng; Gangyi Yang; Yu Huang; Daoyan Liu; Zhiming Zhu,30275974
